,Unnamed: 0,latitude,longitude,address,ward_id,color_marker,cluster_assignment,zone_assignment
0,0,18.93452541830031,72.83641077784328,"Bora Bazaar, A Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400038, India",A,Blue,0.0,5.0
1,1,18.92156681802486,72.83228100093567,"Papaya bistro, Boman Behram Road (Mere Weather Road)/Shri Boman Kawasji Boman Behram Marg (Mere Weather Road), A Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400001, India",A,Blue,0.0,5.0
2,2,18.92380419791584,72.83177018027394,"Holland House, Nanabhai Moos Marg (Upper Colaba Road), A Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400032, India",A,Blue,0.0,5.0
3,3,18.93649916833496,72.83845033505023,"Windsor, Kumtha Street, Ballard Estate, A Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400038, India",A,Blue,0.0,5.0
4,4,18.938208298579603,72.8372232833373,"ASHAPURA TRAVELS AGENCY, Walchand Hirachand Road (Fort Street), Bori Bunder, A Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 40001, India",A,Blue,0.0,5.0
5,5,18.955739657674393,72.83465297601957,"Hindustan Restaurant, JB Shah Road (Chinch Bandar Road), Mandvi, B Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400003, India",B,Blue,0.0,5.0
6,6,18.95233507140767,72.83440789142435,"Toilets, Bibijan Street, Mandvi, B Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400003, India",B,Blue,0.0,5.0
7,7,18.95770413418953,72.83667874214929,"102, 2nd Flank Road, Mandvi, B Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400009, India",B,Blue,0.0,5.0
8,8,18.95403805772641,72.8333698831657,"Noor Hospital, 49, J.J. Flyover, C Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400003, India",B,Blue,0.0,5.0
9,9,18.958458866548263,72.83547541671486,"Noor Masjid, Mohamed Umer Kokil Marg, Mandvi, B Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400009, India",B,Blue,0.0,5.0
